7,0.001,0.004,0.1,0.1,0.7,0.8,21,-0.025,0,0.1,0,923023.5709183672,8.178555607765774E7,3.591613370973866E10,5,7,2,2,25,8,11,8
8,0.001,0.003,0.1,0.1,0.7,0.8,1,0,0,0,0.1,923064.4359183672,7.75173740291338E7,3.5921995626787186E10,8,4,6,1,33,10,12,9
9,0.001,0.003,0.1,0.1,0.8,0.8,1,0,0,0,0.1,923100.0909183674,6.225178553319698E7,3.5938651760283134E10,6,3,3,3,20,12,6,7
10,0.001,0.002,0.1,0.1,0.8,0.8,1,0,0,0,0.1,923200.1409183673,5.2860470135958835E7,3.595194502568037E10,7,4,4,3,22,8,3,2
11,0.001,0.002,0.1,0.1,0.8,0.8,0,0,0,0,0,923267.3509183673,4.4890926476191744E7,3.596253575934013E10,4,4,1,2,18,5,4,2
0,0.003,0.008,0.15,0.15,0.5,0.5,29,-0.025,-0.025,0,0.2,922355.7809183671,1.582423477375355E8,3.581363310807878E10,22,26,32,28,48,53,96,123
1,0.003,0.007,0.125,0.125,0.5,0.7,1,0,0,0,0.1,922063.9609183671,1.4813507452310342E8,3.581235940129322E10,18,17,20,33,46,49,63,77
2,0.002,0.006,0.125,0.125,0.5,0.8,33,-0.025,-0.025,0.2,0,922358.2709183671,1.3934131874457544E8,3.583263124707174E10,16,13,12,14,40,33,38,56
3,0.002,0.005,0.1,0.1,0.7,0.8,18,-0.025,0,0,0,922617.6309183672,1.2525916472592397E8,3.58568284410904E10,21,8,10,11,41,27,44,48
4,0.002,0.004,0.1,0.1,0.7,0.8,18,-0.025,0,0,0,922793.9809183672,1.1026398351361582E8,3.58787012723027E10,22,9,6,5,25,13,23,14
5,0.001,0.004,0.1,0.1,0.7,0.8,3,0,0,0.1,0,922914.3759183672,9.417675765091714E7,3.5899483903165405E10,4,10,7,5,31,13,18,12
6,0.001,0.004,0.1,0.1,0.8,0.8,1,0,0,0,0.1,923008.1609183672,8.928085171785039E7,3.590803742409847E10,11,5,6,7,23,12,13,6
7,0.001,0.004,0.1,0.1,0.8,0.8,1,0,0,0,0.1,923070.5509183672,8.397697299128549E7,3.5915774512825035E10,9,4,1,0,34,11,13,11
8,0.001,0.003,0.1,0.1,0.8,0.8,1,0,0,0,0.1,923074.3859183672,7.617477398205455E7,3.592372627683427E10,9,1,8,3,22,12,18,15
9,0.001,0.003,0.1,0.1,0.8,0.8,1,0,0,0,0.1,923118.5909183673,7.338011440544009E7,3.592824493141088E10,3,6,2,6,18,15,20,12
10,0.001,0.003,0.1,0.1,0.8,0.8,1,0,0,0,0.1,923137.9859183673,6.385761560168399E7,3.593852383521464E10,3,3,4,2,16,11,13,24
11,0.001,0.003,0.1,0.1,0.8,0.8,0,0,0,0,0,923213.2009183674,5.6239774765192986E7,3.594907506105114E10,3,2,2,0,16,14,11,14
0,0.003,0.008,0.15,0.15,0.5,0.5,29,-0.025,-0.025,0,0.2,922355.7809183671,1.582423477375355E8,3.581363310807878E10,22,26,32,28,48,53,96,123
1,0.003,0.007,0.125,0.125,0.5,0.7,1,0,0,0,0.1,922069.845918367,1.5236880488974535E8,3.580835518592657E10,16,20,21,28,50,53,58,89
2,0.002,0.006,0.125,0.125,0.5,0.8,33,-0.025,-0.025,0.2,0,922358.3209183671,1.4526848366715974E8,3.5826706032149155E10,22,14,15,17,39,34,46,56
3,0.002,0.005,0.1,0.1,0.7,0.8,18,-0.025,0,0,0,922614.7059183671,1.2934582758586383E8,3.585262770323046E10,11,10,15,9,33,30,34,48
4,0.002,0.004,0.1,0.1,0.7,0.8,18,-0.025,0,0,0,922757.9309183672,1.0666123719006455E8,3.588089806862626E10,21,5,4,7,31,18,11,20
5,0.002,0.004,0.1,0.1,0.7,0.8,18,-0.025,0,0,0,922948.2909183671,9.560606736050451E7,3.589937727845581E10,11,3,3,5,34,10,9,5
6,0.001,0.004,0.08260869565217391,0.1,0.7,0.8,18,-0.025,0,0,0,923000.8609183673,8.616901728357512E7,-8000000000000000,13,5,2,7,28,13,6,6
7,0.001,0.004,0.1,0.1,0.7,0.8,21,-0.025,0,0.1,0,923027.4709183672,7.677966125948037E7,3.592129170455684E10,8,2,3,4,30,14,7,7
8,0.001,0.003,0.1,0.1,0.8,0.8,1,0,0,0,0.1,923078.0909183673,7.138458053637391E7,3.5928660965279945E10,2,6,3,5,28,8,14,7
9,0.001,0.003,0.1,0.1,0.8,0.8,1,0,0,0,0.1,923139.8959183672,5.969412258701417E7,3.59427618182293E10,4,5,2,2,25,7,7,3
10,0,0.002,0.1,0.1,0.8,0.8,0,0,0,0,0,923215.4559183674,4.619952994144218E7,3.595920325087488E10,3,4,1,1,20,9,4,5
11,0,0.002,0.0821917808219178,0.1,0.8,0.8,0,0,0,0,0,923287.6909183674,4.0367396783980325E7,-8000000000000000,2,3,2,1,19,6,11,2
0,0.003,0.008,0.15,0.15,0.5,0.5,29,-0.025,-0.025,0,0.2,922355.7809183671,1.582423477375355E8,3.581363310807878E10,22,26,32,28,48,53,96,123
1,0.002,0.007,0.125,0.125,0.5,0.7,33,-0.025,-0.025,0.2,0,922080.0109183671,1.5763180371850494E8,3.580348862209781E10,15,21,18,27,53,46,78,96
2,0.002,0.006,0.1,0.1,0.7,0.7,0,0,0,0,0,922344.5059183671,1.4835913558014828E8,3.5823076595236176E10,15,14,10,16,37,39,51,63
3,0.002,0.005,0.1,0.1,0.7,0.7,0,0,0,0,0,922577.6959183671,1.1475570518601301E8,3.58657744356303E10,16,5,11,12,20,26,46,41
4,0.002,0.005,0.1,0.1,0.7,0.7,3,0,0,0.1,0,922833.7259183672,1.0489509022067928E8,3.588562022059564E10,10,8,7,8,24,22,26,19
5,0.002,0.005,0.1,0.1,0.8,0.7,19,-0.025,0,0,0.1,922884.3759183672,1.028454830012506E8,3.588964517781507E10,12,4,5,15,30,21,21,19
